,title,authors,filename,referencecount,abstract_length,acronym_presence,content_references,equations,figures,pages,paragraphs,sections,subsections,subsubsections,tables,title_length,words,referencecount_per_page,figures_tables_per_page,equations_per_page,subsections_per_page,citationcount
898,Learning Reasoning Strategies in End-to-End Differentiable Proving,8,Learning Reasoning Strategies in End-to-End Differentiable Proving,59,143,False,142,25,6,12,24,7,4,0,0,66,9088,4.916666666666667,0.5,2.0833333333333335,0.3333333333333333,79
899,Learning a Prior over Intent via Meta-Inverse Reinforcement Learning,8,Learning a Prior over Intent via Meta-Inverse Reinforcement Learning,65,170,False,113,34,3,15,9,11,8,1,10,68,10341,4.333333333333333,0.8666666666666667,2.2666666666666666,0.5333333333333333,60
900,Learning selection strategies in Buchberger's algorithm,8,Learning selection strategies in Buchbergers algorithm,49,146,False,46,23,24,14,0,11,19,1,14,55,9568,3.5,2.7142857142857144,1.6428571428571428,1.3571428571428572,26
901,Learning to Learn Kernels with Variational Random Features,8,Learning to Learn Kernels with Variational Random Features,61,163,False,186,48,23,16,0,8,13,4,30,58,9576,3.8125,3.3125,3.0,0.8125,32
903,Leveraging Sparse Linear Layers for Debuggable Deep Networks,8,Leveraging Sparse Linear Layers for Debuggable Deep Networks,64,78,False,145,14,168,44,29,15,27,5,10,60,17028,1.4545454545454546,4.045454545454546,0.3181818181818182,0.6136363636363636,72
904,Link Prediction with Persistent Homology: An Interactive View,8,Link Prediction with Persistent Homology An Interactive View,60,95,False,78,0,37,20,0,11,15,0,10,60,13675,3.0,2.35,0.0,0.75,32
905,Logistic Regression for Massive Data with Rare Events,8,Logistic Regression for Massive Data with Rare Events,19,198,False,26,209,4,28,0,12,7,0,2,53,9399,0.6785714285714286,0.21428571428571427,7.464285714285714,0.25,10
906,Lyapunov Density Models: Constraining Distribution Shift in Learning-Based Control,8,Lyapunov Density Models Constraining Distribution Shift in Learning-Based Control,42,158,False,50,70,33,26,0,15,19,6,0,81,16661,1.6153846153846154,1.2692307692307692,2.6923076923076925,0.7307692307692307,14
907,Make the Minority Great Again: First-Order Regret Bound for Contextual Bandits,8,Make the Minority Great Again First-Order Regret Bound for Contextual Bandits,8,127,False,8,80,0,15,0,8,10,1,0,77,6762,0.5333333333333333,0.0,5.333333333333333,0.6666666666666666,27
908,Maximal Initial Learning Rates in Deep ReLU Networks,8,Maximal Initial Learning Rates in Deep ReLU Networks,44,191,False,99,161,39,31,0,15,11,0,0,52,15134,1.4193548387096775,1.2580645161290323,5.193548387096774,0.3548387096774194,6
910,Metric-Fair Classifier Derandomization,8,Metric-Fair Classifier Derandomization,38,187,False,36,122,0,20,6,7,20,0,0,38,10718,1.9,0.0,6.1,1.0,5
912,Model Transferability with Responsive Decision Subjects,8,Model Transferability with Responsive Decision Subjects,67,205,False,81,173,32,32,19,15,32,2,0,55,17962,2.09375,1.0,5.40625,1.0,9
913,Modeling Structure with Undirected Neural Networks,8,Modeling Structure with Undirected Neural Networks,40,180,False,154,256,78,17,38,28,4,0,32,50,10741,2.3529411764705883,6.470588235294118,15.058823529411764,0.23529411764705882,0
914,More Efficient Sampling for Tensor Decomposition,8,More Efficient Sampling for Tensor Decomposition,92,103,False,254,294,15,31,14,11,23,10,18,48,18544,2.967741935483871,1.064516129032258,9.483870967741936,0.7419354838709677,12
915,Multi-Precision Policy Enforced Training (MuPPET): A precision-switching strategy for quantised fixed-point training of CNNs,8,Multi-Precision Policy Enforced Training MuPPET A precision-switching strategy for quantised fixed-point training of CNNs,43,217,False,57,24,52,21,0,7,7,3,6,123,7012,2.0476190476190474,2.761904761904762,1.1428571428571428,0.3333333333333333,12
916,Multirate Training of Neural Networks,8,Multirate Training of Neural Networks,57,154,False,72,66,43,19,0,14,9,0,12,37,11932,3.0,2.8947368421052633,3.473684210526316,0.47368421052631576,4
917,Near-Exact Recovery for Tomographic Inverse Problems via Deep Learning,8,Near-Exact Recovery for Tomographic Inverse Problems via Deep Learning,48,142,False,67,30,34,14,0,9,9,0,2,70,8155,3.4285714285714284,2.5714285714285716,2.142857142857143,0.6428571428571429,16
918,Nesterov Meets Optimism: Rate-Optimal Separable Minimax Optimization,8,Nesterov Meets Optimism Rate-Optimal Separable Minimax Optimization,58,130,False,238,386,15,44,21,13,27,0,2,67,20169,1.3181818181818181,0.38636363636363635,8.772727272727273,0.6136363636363636,1
920,Neuro-Symbolic Hierarchical Rule Induction,8,Neuro-Symbolic Hierarchical Rule Induction,48,107,False,120,158,15,36,28,9,11,7,28,42,17290,1.3333333333333333,1.1944444444444444,4.388888888888889,0.3055555555555556,14
921,Non-Parametric Priors For Generative Adversarial Networks,8,Non-Parametric Priors For Generative Adversarial Networks,32,164,False,46,18,21,10,12,6,2,0,12,57,6968,3.2,3.3,1.8,0.2,13
922,Normalized Loss Functions for Deep Learning with Noisy Labels,8,Normalized Loss Functions for Deep Learning with Noisy Labels,39,165,False,64,37,22,13,0,8,10,0,10,61,9666,3.0,2.4615384615384617,2.8461538461538463,0.7692307692307693,331
923,Off-Policy Deep Reinforcement Learning without Exploration,8,Off-Policy Deep Reinforcement Learning without Exploration,88,139,False,130,70,58,23,0,14,11,0,2,58,15012,3.8260869565217392,2.608695652173913,3.0434782608695654,0.4782608695652174,1187
924,On Connected Sublevel Sets in Deep Learning,8,On Connected Sublevel Sets in Deep Learning,46,52,False,21,154,18,16,2,18,3,0,0,43,13783,2.875,1.125,9.625,0.1875,88
925,On Layer Normalization in the Transformer Architecture,8,On Layer Normalization in the Transformer Architecture,57,206,False,126,74,27,17,23,13,9,0,2,54,11827,3.3529411764705883,1.7058823529411764,4.352941176470588,0.5294117647058824,648
926,On Scalable and Efficient Computation of Large Scale Optimal Transport,8,On Scalable and Efficient Computation of Large Scale Optimal Transport,62,132,False,222,100,30,21,0,20,14,0,24,70,8093,2.9523809523809526,2.5714285714285716,4.761904761904762,0.6666666666666666,39
927,On the Difficulty of Defending Self-Supervised Learning against Model Extraction,8,On the Difficulty of Defending Self-Supervised Learning against Model Extraction,32,28,False,12,0,3,20,0,6,12,4,2,80,12154,1.6,0.25,0.0,0.6,13
928,On the Inherent Regularization Effects of Noise Injection During Training,8,On the Inherent Regularization Effects of Noise Injection During Training,43,140,False,63,347,33,31,0,8,16,6,0,73,18193,1.3870967741935485,1.064516129032258,11.193548387096774,0.5161290322580645,15
929,On the Role of Discount Factor in Offline Reinforcement Learning,8,On the Role of Discount Factor in Offline Reinforcement Learning,49,186,False,105,222,93,27,7,10,16,9,12,64,14236,1.8148148148148149,3.888888888888889,8.222222222222221,0.5925925925925926,12
930,One-shot distributed ridge regression in high dimensions,8,One-shot distributed ridge regression in high dimensions,71,200,False,72,98,41,48,0,8,26,0,0,56,19718,1.4791666666666667,0.8541666666666666,2.0416666666666665,0.5416666666666666,48
931,Online Linear Quadratic Control,8,Online Linear Quadratic Control,39,82,False,47,228,6,22,0,10,18,0,0,31,10995,1.7727272727272727,0.2727272727272727,10.363636363636363,0.8181818181818182,128
933,Optimal Robust Learning of Discrete Distributions from Batches,8,Optimal Robust Learning of Discrete Distributions from Batches,16,75,False,25,126,6,22,1,8,16,0,0,62,10375,0.7272727272727273,0.2727272727272727,5.7272727272727275,0.7272727272727273,11
934,Optimizing Black-box Metrics with Iterative Example Weighting,8,Optimizing Black-box Metrics with Iterative Example Weighting,59,142,False,129,158,16,42,0,17,14,0,14,61,19441,1.4047619047619047,0.7142857142857143,3.761904761904762,0.3333333333333333,3
935,Outlier-Robust Optimal Transport,8,Outlier-Robust Optimal Transport,51,135,False,140,227,11,19,19,22,31,0,12,32,13172,2.6842105263157894,1.2105263157894737,11.947368421052632,1.631578947368421,41
936,PC-MLP: Model-based Reinforcement Learning with Policy Cover Guided Exploration,8,PC-MLP Model-based Reinforcement Learning with Policy Cover Guided Exploration,55,138,True,102,176,32,24,3,21,27,8,14,78,13129,2.2916666666666665,1.9166666666666667,7.333333333333333,1.125,17
938,Particle Transformer for Jet Tagging,8,Particle Transformer for Jet Tagging,68,152,False,95,14,9,12,0,7,2,0,12,36,9095,5.666666666666667,1.75,1.1666666666666667,0.16666666666666666,49
939,Perturbation Analysis of Neural Collapse,8,Perturbation Analysis of Neural Collapse,33,215,False,72,198,58,29,0,12,5,0,2,40,16956,1.1379310344827587,2.0689655172413794,6.827586206896552,0.1724137931034483,13
940,Pocket2Mol: Efficient Molecular Sampling Based on 3D Protein Pockets,8,Pocket2Mol Efficient Molecular Sampling Based on 3D Protein Pockets,42,0,False,16,10,6,12,0,6,2,0,6,67,7981,3.5,1.0,0.8333333333333334,0.16666666666666666,93
941,Position Prediction as an Effective Pretraining Strategy,8,Position Prediction as an Effective Pretraining Strategy,42,234,False,74,0,52,18,0,11,6,5,16,56,11252,2.3333333333333335,3.7777777777777777,0.0,0.3333333333333333,16
942,Preference Modeling with Context-Dependent Salient Features,8,Preference Modeling with Context-Dependent Salient Features,45,146,False,66,64,40,43,17,45,21,0,8,59,22639,1.0465116279069768,1.1162790697674418,1.4883720930232558,0.4883720930232558,10
943,Private Adaptive Optimization with Side Information,8,Private Adaptive Optimization with Side Information,36,122,False,72,132,18,20,8,11,10,5,20,51,11634,1.8,1.9,6.6,0.5,28
945,Prototype Based Classification from Hierarchy to Fairness,8,Prototype Based Classification from Hierarchy to Fairness,31,132,False,86,10,31,17,0,12,9,0,16,57,9985,1.8235294117647058,2.764705882352941,0.5882352941176471,0.5294117647058824,3
946,Provably Efficient Imitation Learning from Observation Alone,8,Provably Efficient Imitation Learning from Observation Alone,51,169,False,87,184,20,26,10,23,11,0,0,60,16812,1.9615384615384615,0.7692307692307693,7.076923076923077,0.4230769230769231,88
947,Q-learning Decision Transformer: Leveraging Dynamic Programming for Conditional Sequence Modelling in Offline RL,8,Q-learning Decision Transformer Leveraging Dynamic Programming for Conditional Sequence Modelling in Offline RL,52,177,True,112,24,27,19,3,12,15,1,30,111,11296,2.736842105263158,3.0,1.263157894736842,0.7894736842105263,37
948,Quantum Policy Gradient Algorithm with Optimized Action Decoding,8,Quantum Policy Gradient Algorithm with Optimized Action Decoding,63,102,False,91,74,12,22,0,15,17,2,0,64,14853,2.8636363636363638,0.5454545454545454,3.3636363636363638,0.7727272727272727,12
949,Rademacher Complexity for Adversarially Robust Generalization,8,Rademacher Complexity for Adversarially Robust Generalization,64,198,False,109,104,9,21,4,10,15,2,0,61,10305,3.0476190476190474,0.42857142857142855,4.9523809523809526,0.7142857142857143,231
950,RankMe: Assessing the downstream performance of pretrained self-supervised representations by their rank,8,RankMe Assessing the downstream performance of pretrained self-supervised representations by their rank,63,216,False,79,16,59,46,0,18,7,0,56,103,17870,1.3695652173913044,2.5,0.34782608695652173,0.15217391304347827,32
951,Recovery of Sparse Signals from a Mixture of Linear Samples,8,Recovery of Sparse Signals from a Mixture of Linear Samples,27,154,False,57,144,5,26,9,10,9,7,0,59,12154,1.0384615384615385,0.19230769230769232,5.538461538461538,0.34615384615384615,10
953,Repairing without Retraining: Avoiding Disparate Impact with Counterfactual Distributions,8,Repairing without Retraining Avoiding Disparate Impact with Counterfactual Distributions,73,160,False,67,162,9,21,14,9,11,2,6,88,11355,3.4761904761904763,0.7142857142857143,7.714285714285714,0.5238095238095238,70
954,Rethinking Batch Normalization in Transformers,8,Rethinking Batch Normalization in Transformers,52,241,False,95,93,25,18,17,10,14,1,8,46,10258,2.888888888888889,1.8333333333333333,5.166666666666667,0.7777777777777778,16
955,Revisiting Point Cloud Shape Classification with a Simple and Effective Baseline,8,Revisiting Point Cloud Shape Classification with a Simple and Effective Baseline,71,156,False,136,0,15,12,0,6,4,0,14,80,8307,5.916666666666667,2.4166666666666665,0.0,0.3333333333333333,152
956,Robin Hood and Matthew Effects: Differential Privacy Has Disparate Impact on Synthetic Data,8,Robin Hood and Matthew Effects Differential Privacy Has Disparate Impact on Synthetic Data,65,166,False,75,12,81,16,0,6,14,0,0,90,10646,4.0625,5.0625,0.75,0.875,39
957,Robust Outlier Arm Identification,8,Robust Outlier Arm Identification,44,203,False,88,165,17,26,0,15,18,0,0,33,16280,1.6923076923076923,0.6538461538461539,6.346153846153846,0.6923076923076923,2
959,SGD with large step sizes learns sparse features,8,SGD with large step sizes learns sparse features,63,191,True,0,2,0,23,0,5,2,0,0,48,13877,2.739130434782609,0.0,0.08695652173913043,0.08695652173913043,39
960,Safe Reinforcement Learning with Linear Function Approximation,8,Safe Reinforcement Learning with Linear Function Approximation,37,156,False,44,184,8,25,1,10,13,0,0,62,14861,1.48,0.32,7.36,0.52,27
961,Scalable Deep Generative Modeling for Sparse Graphs,8,Scalable Deep Generative Modeling for Sparse Graphs,45,171,False,151,28,20,13,4,8,13,6,14,51,10173,3.4615384615384617,2.6153846153846154,2.1538461538461537,1.0,60
963,SegCLIP: Patch Aggregation with Learnable Centers for Open-Vocabulary Semantic Segmentation,8,SegCLIP Patch Aggregation with Learnable Centers for Open-Vocabulary Semantic Segmentation,73,151,False,67,14,21,12,2,6,12,0,8,90,7966,6.083333333333333,2.4166666666666665,1.1666666666666667,1.0,77
964,Self-Tuning for Data-Efficient Deep Learning,8,Self-Tuning for Data-Efficient Deep Learning,42,198,False,105,14,28,11,6,7,14,0,10,44,7528,3.8181818181818183,3.4545454545454546,1.2727272727272727,1.2727272727272727,52
965,Sequential Domain Adaptation by Synthesizing Distributionally Robust Experts,8,Sequential Domain Adaptation by Synthesizing Distributionally Robust Experts,74,130,False,146,330,24,21,0,14,14,0,4,76,12445,3.5238095238095237,1.3333333333333333,15.714285714285714,0.6666666666666666,16
966,Shortest-Path Constrained Reinforcement Learning for Sparse Reward Tasks,8,Shortest-Path Constrained Reinforcement Learning for Sparse Reward Tasks,58,174,False,154,72,133,30,28,18,33,0,10,72,17104,1.9333333333333333,4.766666666666667,2.4,1.1,2
967,SinIR: Efficient General Image Manipulation with Single Image Reconstruction,8,SinIR Efficient General Image Manipulation with Single Image Reconstruction,58,149,False,84,4,48,20,10,7,4,3,6,75,7436,2.9,2.7,0.2,0.2,17
968,SoQal: Selective Oracle Questioning for Consistency Based Active Learning of Cardiac Signals,8,SoQal Selective Oracle Questioning for Consistency Based Active Learning of Cardiac Signals,36,151,False,88,108,226,39,6,42,66,8,44,91,14179,0.9230769230769231,6.923076923076923,2.769230769230769,1.6923076923076923,0
969,Sparse Mixed Linear Regression with Guarantees: Taming an Intractable Problem with Invex Relaxation,8,Sparse Mixed Linear Regression with Guarantees Taming an Intractable Problem with Invex Relaxation,34,168,False,100,362,5,23,15,17,9,0,0,98,11048,1.4782608695652173,0.21739130434782608,15.73913043478261,0.391304347826087,5
970,SpreadsheetCoder: Formula Prediction from Semi-structured Context,8,SpreadsheetCoder Formula Prediction from Semi-structured Context,55,159,False,160,0,48,14,6,21,10,8,16,64,9871,3.9285714285714284,4.571428571428571,0.0,0.7142857142857143,32
971,State-Reification Networks: Improving Generalization by Modeling the Distribution of Hidden Representations,8,State-Reification Networks Improving Generalization by Modeling the Distribution of Hidden Representations,45,149,False,104,18,26,10,0,7,12,4,4,106,7601,4.5,3.0,1.8,1.2,3
972,Stochastic Gauss-Newton Algorithms for Nonconvex Compositional Optimization,8,Stochastic Gauss-Newton Algorithms for Nonconvex Compositional Optimization,42,137,False,121,310,38,32,0,13,20,0,6,75,19422,1.3125,1.375,9.6875,0.625,18
974,Structural Entropy Guided Graph Hierarchical Pooling,8,Structural Entropy Guided Graph Hierarchical Pooling,36,147,False,170,40,92,14,58,14,20,0,20,52,8670,2.5714285714285716,8.0,2.857142857142857,1.4285714285714286,38
976,Surrogate Likelihoods for Variational Annealed Importance Sampling,8,Surrogate Likelihoods for Variational Annealed Importance Sampling,68,142,False,180,164,18,21,0,10,23,6,14,66,13101,3.238095238095238,1.5238095238095237,7.809523809523809,1.0952380952380953,10
977,TabDDPM: Modelling Tabular Data with Diffusion Models,8,TabDDPM Modelling Tabular Data with Diffusion Models,57,196,False,95,23,12,15,0,9,3,0,18,52,6352,3.8,2.0,1.5333333333333334,0.2,80
978,Temporal Difference Learning as Gradient Splitting,8,Temporal Difference Learning as Gradient Splitting,27,156,False,85,161,0,23,0,9,8,0,0,50,12274,1.173913043478261,0.0,7.0,0.34782608695652173,11
979,The Boomerang Sampler,8,The Boomerang Sampler,25,182,False,34,132,18,15,0,11,12,0,0,21,10061,1.6666666666666667,1.2,8.8,0.8,27
980,The Hierarchical Adaptive Forgetting Variational Filter,8,The Hierarchical Adaptive Forgetting Variational Filter,36,162,False,41,49,18,10,1,6,6,0,0,55,7674,3.6,1.8,4.9,0.6,4
981,The Power of Exploiter: Provable Multi-Agent RL in Large State Spaces,8,The Power of Exploiter Provable Multi-Agent RL in Large State Spaces,69,1,True,119,202,0,38,17,13,19,6,0,68,17251,1.8157894736842106,0.0,5.315789473684211,0.5,42
982,The limits of min-max optimization algorithms: convergence to spurious non-critical sets,8,The limits of min-max optimization algorithms convergence to spurious non-critical sets,111,1,False,181,279,31,36,1,9,18,3,0,87,17733,3.0833333333333335,0.8611111111111112,7.75,0.5,65
983,Tight Kernel Query Complexity of Kernel Ridge Regression and Kernel k-means Clustering,8,Tight Kernel Query Complexity of Kernel Ridge Regression and Kernel k-means Clustering,30,143,False,57,0,4,27,6,6,17,8,0,86,15978,1.1111111111111112,0.14814814814814814,0.0,0.6296296296296297,6
985,Towards Open Ad Hoc Teamwork Using Graph-based Policy Learning,8,Towards Open Ad Hoc Teamwork Using Graph-based Policy Learning,42,138,False,154,44,64,26,0,16,19,3,6,62,18662,1.6153846153846154,2.6923076923076925,1.6923076923076923,0.7307692307692307,43
986,Traditional and Heavy-Tailed Self Regularization in Neural Network Models,8,Traditional and Heavy-Tailed Self Regularization in Neural Network Models,53,195,False,32,8,35,16,6,7,3,0,4,73,7699,3.3125,2.4375,0.5,0.1875,106
988,Two Routes to Scalable Credit Assignment without Weight Symmetry,8,Two Routes to Scalable Credit Assignment without Weight Symmetry,36,220,False,110,12,59,19,0,11,14,4,12,64,13422,1.894736842105263,3.736842105263158,0.631578947368421,0.7368421052631579,27
989,Understanding Geometry of Encoder-Decoder CNNs,8,Understanding Geometry of Encoder-Decoder CNNs,43,129,False,78,176,3,15,0,14,10,2,0,46,9367,2.8666666666666667,0.2,11.733333333333333,0.6666666666666666,63
991,Universal Multi-Party Poisoning Attacks,8,Universal Multi-Party Poisoning Attacks,42,206,False,73,42,0,22,19,5,5,2,0,39,10500,1.9090909090909092,0.0,1.9090909090909092,0.22727272727272727,33
992,Unsupervised label noise modeling and loss correction,8,Unsupervised label noise modeling and loss correction,44,132,False,87,33,20,12,6,8,9,0,12,53,8449,3.6666666666666665,2.6666666666666665,2.75,0.75,497
993,Variable Skipping for Autoregressive Range Density Estimation,8,Variable Skipping for Autoregressive Range Density Estimation,29,1,False,35,23,32,10,0,5,11,0,10,61,6935,2.9,4.2,2.3,1.1,4
994,Vector Quantized Models for Planning,8,Vector Quantized Models for Planning,64,135,False,133,16,44,15,14,7,8,13,2,36,9187,4.266666666666667,3.066666666666667,1.0666666666666667,0.5333333333333333,34
995,Weakly-Supervised Disentanglement Without Compromises,8,Weakly-Supervised Disentanglement Without Compromises,79,152,False,174,26,67,24,6,9,9,4,18,53,12582,3.2916666666666665,3.5416666666666665,1.0833333333333333,0.375,245
996,When Explanations Lie: Why Many Modified BP Attributions Fail,8,When Explanations Lie Why Many Modified BP Attributions Fail,62,148,True,103,86,58,20,29,15,2,0,0,60,11724,3.1,2.9,4.3,0.1,110
997,Wide Bayesian neural networks have a simple weight posterior: theory and accelerated sampling,8,Wide Bayesian neural networks have a simple weight posterior theory and accelerated sampling,65,208,False,131,113,35,20,0,13,16,8,0,92,14456,3.25,1.75,5.65,0.8,3
999,3PC: Three Point Compressors for Communication-Efficient Distributed Training and a Better Theory for Lazy Aggregation,8,3PC Three Point Compressors for Communication-Efficient Distributed Training and a Better Theory for Lazy Aggregation,39,173,False,118,274,78,52,8,11,37,0,12,117,28340,0.75,1.7307692307692308,5.269230769230769,0.7115384615384616,26
1000,A Distribution-dependent Analysis of Meta Learning,8,A Distribution-dependent Analysis of Meta Learning,23,228,False,79,156,31,19,13,14,6,0,0,50,10960,1.2105263157894737,1.631578947368421,8.210526315789474,0.3157894736842105,4
1001,A Generic First-Order Algorithmic Framework for Bi-Level Programming Beyond Lower-Level Singleton,8,A Generic First-Order Algorithmic Framework for Bi-Level Programming Beyond Lower-Level Singleton,41,136,False,52,131,24,15,0,12,24,0,8,97,10487,2.7333333333333334,2.1333333333333333,8.733333333333333,1.6,109
1002,A Novel Sequential Coreset Method for Gradient Descent Algorithms,8,A Novel Sequential Coreset Method for Gradient Descent Algorithms,52,172,False,51,98,38,27,0,10,7,0,0,65,9557,1.9259259259259258,1.4074074074074074,3.6296296296296298,0.25925925925925924,11
1003,"A Second look at Exponential and Cosine Step Sizes: Simplicity, Adaptivity, and Performance",8,A Second look at Exponential and Cosine Step Sizes Simplicity Adaptivity and Performance,74,199,False,187,83,16,19,7,16,19,7,6,90,12182,3.8947368421052633,1.1578947368421053,4.368421052631579,1.0,15
1004,A Theoretical Analysis of the Learning Dynamics under Class Imbalance,8,A Theoretical Analysis of the Learning Dynamics under Class Imbalance,56,211,False,62,195,36,39,20,16,21,0,4,69,22250,1.435897435897436,1.0256410256410255,5.0,0.5384615384615384,6
1005,A new regret analysis for Adam-type algorithms,8,A new regret analysis for Adam-type algorithms,19,94,False,138,212,0,21,0,6,17,0,0,46,12870,0.9047619047619048,0.0,10.095238095238095,0.8095238095238095,33
1006,Accelerated Algorithms for Smooth Convex-Concave Minimax Problems with O(1/k^2) Rate on Squared Gradient Norm,8,Accelerated Algorithms for Smooth Convex-Concave Minimax Problems with O1k2 Rate on Squared Gradient Norm,98,68,False,162,371,8,32,11,11,22,0,2,108,18379,3.0625,0.3125,11.59375,0.6875,85
1007,"Accuracy, Interpretability, and Differential Privacy via Explainable Boosting",8,Accuracy Interpretability and Differential Privacy via Explainable Boosting,41,104,False,36,10,18,12,0,8,10,3,6,77,7284,3.4166666666666665,2.0,0.8333333333333334,0.8333333333333334,27
1009,Adaptive Estimator Selection for Off-Policy Evaluation,8,Adaptive Estimator Selection for Off-Policy Evaluation,35,75,False,95,104,12,23,22,10,11,0,4,54,12099,1.5217391304347827,0.6956521739130435,4.521739130434782,0.4782608695652174,30
1010,Additive Gaussian Processes Revisited,8,Additive Gaussian Processes Revisited,34,109,False,115,103,38,26,0,18,21,4,16,37,14074,1.3076923076923077,2.076923076923077,3.9615384615384617,0.8076923076923077,14
1011,Adversarial Mutual Information for Text Generation,8,Adversarial Mutual Information for Text Generation,53,189,False,63,74,9,13,11,10,8,0,14,50,8409,4.076923076923077,1.7692307692307692,5.6923076923076925,0.6153846153846154,4
1012,Adversarially Trained Actor Critic for Offline Reinforcement Learning,8,Adversarially Trained Actor Critic for Offline Reinforcement Learning,58,153,False,244,118,46,27,0,11,14,4,8,69,17026,2.1481481481481484,2.0,4.37037037037037,0.5185185185185185,76
1013,Alternative Microfoundations for Strategic Classification,8,Alternative Microfoundations for Strategic Classification,48,253,False,106,104,13,41,5,15,34,5,0,57,21486,1.170731707317073,0.3170731707317073,2.5365853658536586,0.8292682926829268,38
1014,An Instability in Variational Inference for Topic Models,8,An Instability in Variational Inference for Topic Models,59,174,False,108,536,57,69,0,16,29,0,0,56,27633,0.855072463768116,0.8260869565217391,7.768115942028985,0.42028985507246375,29
1015,Analyzing Federated Learning through an Adversarial Lens,8,Analyzing Federated Learning through an Adversarial Lens,31,205,False,36,14,34,19,0,10,19,3,2,56,9477,1.631578947368421,1.894736842105263,0.7368421052631579,1.0,796
1016,Approximated Oracle Filter Pruning for Destructive CNN Width Optimization,8,Approximated Oracle Filter Pruning for Destructive CNN Width Optimization,47,176,True,58,22,24,11,0,7,9,0,8,73,8661,4.2727272727272725,2.909090909090909,2.0,0.8181818181818182,109
1018,Autoencoding Under Normalization Constraints,8,Autoencoding Under Normalization Constraints,68,129,False,123,44,37,21,0,12,22,0,22,44,13156,3.238095238095238,2.8095238095238093,2.0952380952380953,1.0476190476190477,32
1019,BORE: Bayesian Optimization by Density-Ratio Estimation,8,BORE Bayesian Optimization by Density-Ratio Estimation,95,339,True,180,56,52,26,0,14,12,0,0,54,13401,3.6538461538461537,2.0,2.1538461538461537,0.46153846153846156,22
1020,Bayesian Estimation of Differential Privacy,8,Bayesian Estimation of Differential Privacy,35,214,False,64,46,19,17,10,15,13,1,16,43,9072,2.0588235294117645,2.0588235294117645,2.7058823529411766,0.7647058823529411,23
1021,Bayesian Uncertainty Estimation for Batch Normalized Deep Networks,8,Bayesian Uncertainty Estimation for Batch Normalized Deep Networks,35,81,False,81,88,83,30,11,7,17,0,22,66,13457,1.1666666666666667,3.5,2.933333333333333,0.5666666666666667,214
1022,Beyond Signal Propagation: Is Feature Diversity Necessary in Deep Neural Network Initialization?,8,Beyond Signal Propagation Is Feature Diversity Necessary in Deep Neural Network Initialization,37,119,False,43,84,26,26,0,14,9,0,8,94,15218,1.4230769230769231,1.3076923076923077,3.230769230769231,0.34615384615384615,10
1023,Bit Allocation using Optimization,8,Bit Allocation using Optimization,77,175,False,226,82,50,23,0,14,18,0,10,33,11852,3.347826086956522,2.608695652173913,3.5652173913043477,0.782608695652174,5
1024,Bootstrap Latent-Predictive Representations for Multitask Reinforcement Learning,8,Bootstrap Latent-Predictive Representations for Multitask Reinforcement Learning,53,167,False,162,14,40,19,2,8,19,0,20,80,11280,2.789473684210526,3.1578947368421053,0.7368421052631579,1.0,114
1025,Breaking the gridlock in Mixture-of-Experts: Consistent and Efficient Algorithms,8,Breaking the gridlock in Mixture-of-Experts Consistent and Efficient Algorithms,55,220,False,45,290,23,29,0,14,13,2,2,79,15879,1.896551724137931,0.8620689655172413,10.0,0.4482758620689655,16
1027,Canonical Tensor Decomposition for Knowledge Base Completion,8,Canonical Tensor Decomposition for Knowledge Base Completion,37,132,False,161,42,7,12,3,9,16,0,8,60,7811,3.0833333333333335,1.25,3.5,1.3333333333333333,326
1028,Cell-Free Latent Go-Explore,8,Cell-Free Latent Go-Explore,63,143,False,87,18,30,16,25,10,12,3,8,27,10224,3.9375,2.375,1.125,0.75,0
1029,Choice Set Optimization Under Discrete Choice Models of Group Decisions,8,Choice Set Optimization Under Discrete Choice Models of Group Decisions,66,152,False,58,69,21,19,0,12,14,4,4,71,15290,3.473684210526316,1.3157894736842106,3.6315789473684212,0.7368421052631579,5
1030,Co-training Improves Prompt-based Learning for Large Language Models,8,Co-training Improves Prompt-based Learning for Large Language Models,50,158,False,160,12,34,17,20,11,15,0,4,68,12418,2.9411764705882355,2.235294117647059,0.7058823529411765,0.8823529411764706,31
1031,Combining Parametric and Nonparametric Models for Off-Policy Evaluation,8,Combining Parametric and Nonparametric Models for Off-Policy Evaluation,27,96,False,47,112,49,17,11,13,12,0,8,71,11661,1.588235294117647,3.3529411764705883,6.588235294117647,0.7058823529411765,26
1032,Composable Sketches for Functions of Frequencies: Beyond the Worst Case,8,Composable Sketches for Functions of Frequencies Beyond the Worst Case,55,172,False,58,53,52,34,10,8,13,0,6,70,15035,1.6176470588235294,1.7058823529411764,1.5588235294117647,0.38235294117647056,16
1033,Concept-based Explanations for Out-Of-Distribution Detectors,8,Concept-based Explanations for Out-Of-Distribution Detectors,76,28,False,20,0,3,21,0,7,12,4,2,60,13071,3.619047619047619,0.23809523809523808,0.0,0.5714285714285714,6
1034,Consensus Control for Decentralized Deep Learning,8,Consensus Control for Decentralized Deep Learning,65,172,False,128,74,47,24,29,12,23,2,38,49,15727,2.7083333333333335,3.5416666666666665,3.0833333333333335,0.9583333333333334,57
