,referencecount,abstract_length,acronym_presence,content_references,equations,figures,pages,paragraphs,sections,subsections,subsubsections,tables,title_length,words,referencecount_per_page,figures_tables_per_page,equations_per_page,subsections_per_page,citationcount
1134,56,165,False,270,216,72,45,35,21,30,15,28,67,25931,1.2444444444444445,2.2222222222222223,4.8,0.6666666666666666,28
1135,69,221,False,152,114,15,13,14,13,15,0,4,48,8825,5.3076923076923075,1.4615384615384615,8.76923076923077,1.1538461538461537,48
1136,52,127,False,59,155,6,32,8,22,10,0,0,57,13764,1.625,0.1875,4.84375,0.3125,73
1137,65,82,True,41,30,8,11,11,6,4,0,2,54,7424,5.909090909090909,0.9090909090909091,2.727272727272727,0.36363636363636365,4
1138,34,104,False,43,6,18,13,6,12,2,0,6,58,10386,2.6153846153846154,1.8461538461538463,0.46153846153846156,0.15384615384615385,24
1139,28,161,False,68,110,36,19,0,10,7,0,2,83,8779,1.4736842105263157,2.0,5.7894736842105265,0.3684210526315789,43
1140,60,200,True,378,740,0,52,10,26,16,0,4,88,20733,1.1538461538461537,0.07692307692307693,14.23076923076923,0.3076923076923077,4
1141,61,175,False,64,84,6,17,0,15,2,0,6,68,10144,3.588235294117647,0.7058823529411765,4.9411764705882355,0.11764705882352941,14
1142,32,1,False,126,28,12,10,0,18,36,8,8,36,7230,3.2,2.0,2.8,3.6,419
1143,41,176,False,84,40,75,23,0,9,8,7,2,41,15027,1.7826086956521738,3.347826086956522,1.7391304347826086,0.34782608695652173,6
1144,57,147,False,112,87,41,29,0,12,21,2,10,88,18464,1.9655172413793103,1.7586206896551724,3.0,0.7241379310344828,17
1145,22,116,False,78,198,2,32,12,13,13,3,0,91,17413,0.6875,0.0625,6.1875,0.40625,14
1146,62,1,False,99,64,27,23,6,9,22,4,14,67,15190,2.6956521739130435,1.7826086956521738,2.782608695652174,0.9565217391304348,1
1147,48,158,False,40,81,13,16,0,8,9,5,0,46,7148,3.0,0.8125,5.0625,0.5625,240
1148,31,197,False,39,38,22,11,0,7,11,4,4,69,7693,2.8181818181818183,2.3636363636363638,3.4545454545454546,1.0,43
1149,48,191,False,63,138,6,26,0,7,10,0,2,69,13435,1.8461538461538463,0.3076923076923077,5.3076923076923075,0.38461538461538464,19
1150,21,144,False,49,14,33,9,0,6,11,0,4,121,6291,2.3333333333333335,4.111111111111111,1.5555555555555556,1.2222222222222223,36
1154,13,141,False,25,42,27,10,0,6,7,2,0,42,6906,1.3,2.7,4.2,0.7,3
1156,39,133,False,137,19,78,26,0,18,27,0,14,95,11427,1.5,3.5384615384615383,0.7307692307692307,1.0384615384615385,85
1157,61,129,False,73,36,5,34,0,13,6,0,0,36,21887,1.7941176470588236,0.14705882352941177,1.0588235294117647,0.17647058823529413,20
1159,53,1,False,70,48,32,16,11,11,9,0,0,57,9873,3.3125,2.0,3.0,0.5625,73
1160,26,195,True,40,76,2,14,0,6,7,0,2,73,7999,1.8571428571428572,0.2857142857142857,5.428571428571429,0.5,76
1161,118,210,False,190,54,43,29,20,12,15,3,4,83,14716,4.068965517241379,1.6206896551724137,1.8620689655172413,0.5172413793103449,23
1162,53,176,False,132,60,27,20,5,10,11,0,0,68,10576,2.65,1.35,3.0,0.55,24
1163,30,190,False,63,71,22,23,2,8,13,0,2,90,10398,1.3043478260869565,1.0434782608695652,3.0869565217391304,0.5652173913043478,10
1164,52,151,False,62,42,29,21,0,19,10,2,14,48,13404,2.4761904761904763,2.0476190476190474,2.0,0.47619047619047616,4
1165,52,127,False,143,267,43,21,0,14,13,0,0,50,13282,2.4761904761904763,2.0476190476190474,12.714285714285714,0.6190476190476191,22
1166,42,170,False,98,417,62,44,21,11,15,2,0,42,19037,0.9545454545454546,1.4090909090909092,9.477272727272727,0.3409090909090909,13
1167,59,295,False,210,276,18,32,2,26,32,0,0,41,15572,1.84375,0.5625,8.625,1.0,15
1168,16,286,False,32,103,4,23,4,10,8,0,0,56,10970,0.6956521739130435,0.17391304347826086,4.478260869565218,0.34782608695652173,2
1169,62,163,False,42,0,39,20,0,15,8,0,0,102,11315,3.1,1.95,0.0,0.4,0
1170,30,136,False,44,34,10,10,11,7,11,8,16,25,6268,3.0,2.6,3.4,1.1,266
1172,48,166,False,83,292,5,42,10,8,19,3,4,42,20976,1.1428571428571428,0.21428571428571427,6.9523809523809526,0.4523809523809524,8
1173,42,121,False,89,111,36,33,10,12,9,3,10,54,17944,1.2727272727272727,1.393939393939394,3.3636363636363638,0.2727272727272727,295
1174,35,119,False,70,63,0,15,5,15,27,0,8,67,11123,2.3333333333333335,0.5333333333333333,4.2,1.8,13
1175,25,166,False,61,53,10,28,5,5,8,2,0,52,17326,0.8928571428571429,0.35714285714285715,1.8928571428571428,0.2857142857142857,22
1176,54,76,False,84,194,10,30,0,19,10,0,8,80,14798,1.8,0.6,6.466666666666667,0.3333333333333333,97
1177,25,118,False,40,97,12,12,1,11,2,0,0,87,7091,2.0833333333333335,1.0,8.083333333333334,0.16666666666666666,4
1179,69,130,False,165,18,98,20,0,19,1,0,10,57,13245,3.45,5.4,0.9,0.05,103
1180,83,148,True,158,4,15,19,5,10,10,0,8,40,11232,4.368421052631579,1.2105263157894737,0.21052631578947367,0.5263157894736842,50
1182,63,228,False,152,190,8,28,10,20,44,0,12,61,16875,2.25,0.7142857142857143,6.785714285714286,1.5714285714285714,35
1183,28,178,False,63,26,6,20,0,17,35,5,12,45,8874,1.4,0.9,1.3,1.75,471
1184,24,126,False,57,134,9,17,0,9,11,0,0,62,11682,1.411764705882353,0.5294117647058824,7.882352941176471,0.6470588235294118,23
1186,40,171,False,40,54,24,17,10,13,16,2,12,91,12522,2.3529411764705883,2.1176470588235294,3.176470588235294,0.9411764705882353,34
1187,84,198,False,89,270,26,36,0,9,13,0,0,84,15585,2.3333333333333335,0.7222222222222222,7.5,0.3611111111111111,39
1188,56,184,False,149,178,18,17,16,13,3,0,0,56,13129,3.2941176470588234,1.0588235294117647,10.470588235294118,0.17647058823529413,5
1189,62,123,False,210,206,0,23,6,12,18,1,10,62,12349,2.6956521739130435,0.43478260869565216,8.956521739130435,0.782608695652174,78
1190,25,170,False,106,138,36,22,0,10,17,7,4,112,10648,1.1363636363636365,1.8181818181818181,6.2727272727272725,0.7727272727272727,7
1191,42,170,False,83,132,5,21,0,14,13,0,4,95,12064,2.0,0.42857142857142855,6.285714285714286,0.6190476190476191,40
1192,69,160,False,218,0,124,21,0,32,60,6,40,27,13976,3.2857142857142856,7.809523809523809,0.0,2.857142857142857,143
1193,46,116,False,80,22,0,11,16,9,6,0,0,49,6572,4.181818181818182,0.0,2.0,0.5454545454545454,32
1194,41,146,False,0,2,63,24,0,3,8,0,0,66,10922,1.7083333333333333,2.625,0.08333333333333333,0.3333333333333333,5
1195,70,160,False,111,0,25,28,19,12,23,3,10,30,18474,2.5,1.25,0.0,0.8214285714285714,6
1196,67,119,False,39,43,9,11,7,10,17,0,4,69,7645,6.090909090909091,1.1818181818181819,3.909090909090909,1.5454545454545454,11
1197,120,131,False,139,42,15,30,27,11,8,0,8,94,17122,4.0,0.7666666666666667,1.4,0.26666666666666666,1
1198,41,1,False,62,169,0,15,4,17,8,0,0,70,9157,2.7333333333333334,0.0,11.266666666666667,0.5333333333333333,84
1199,57,1,False,187,346,44,40,7,9,15,0,0,64,19515,1.425,1.1,8.65,0.375,8
1201,28,184,False,30,116,18,31,7,11,12,0,0,45,12151,0.9032258064516129,0.5806451612903226,3.7419354838709675,0.3870967741935484,95
1202,42,167,False,99,32,58,19,16,12,12,2,6,101,7476,2.210526315789474,3.3684210526315788,1.6842105263157894,0.631578947368421,14
1203,57,1,False,47,4,13,12,9,6,7,0,0,72,8699,4.75,1.0833333333333333,0.3333333333333333,0.5833333333333334,30
1204,52,148,False,115,252,0,29,0,13,14,0,0,66,16563,1.793103448275862,0.0,8.689655172413794,0.4827586206896552,13
1206,31,139,False,27,149,5,22,17,6,15,3,2,90,11885,1.4090909090909092,0.3181818181818182,6.7727272727272725,0.6818181818181818,21
1207,101,182,False,99,165,24,26,0,7,5,0,24,67,16395,3.8846153846153846,1.8461538461538463,6.346153846153846,0.19230769230769232,31
1209,35,0,False,36,146,38,23,1,8,14,0,10,64,15155,1.5217391304347827,2.0869565217391304,6.3478260869565215,0.6086956521739131,11
1210,76,178,False,107,28,32,20,5,11,13,3,6,122,14484,3.8,1.9,1.4,0.65,0
1211,48,131,False,151,68,30,20,15,11,19,4,6,55,10497,2.4,1.8,3.4,0.95,17
1212,23,73,False,22,257,2,29,0,20,9,6,0,38,11030,0.7931034482758621,0.06896551724137931,8.862068965517242,0.3103448275862069,14
1213,56,127,False,116,161,7,18,9,15,3,0,2,64,9872,3.111111111111111,0.5,8.944444444444445,0.16666666666666666,15
1214,77,130,False,149,82,73,31,4,10,31,10,0,32,15477,2.4838709677419355,2.3548387096774195,2.6451612903225805,1.0,7
1215,90,260,False,105,300,16,67,0,15,16,0,0,69,17790,1.3432835820895523,0.23880597014925373,4.477611940298507,0.23880597014925373,5
1218,25,71,False,68,108,18,24,0,14,8,3,0,111,14860,1.0416666666666667,0.75,4.5,0.3333333333333333,9
1219,38,1,False,84,39,20,10,0,7,6,0,0,50,6222,3.8,2.0,3.9,0.6,11
1220,33,135,False,64,44,22,12,3,6,17,4,8,88,8648,2.75,2.5,3.6666666666666665,1.4166666666666667,20
1221,39,182,False,110,44,54,17,1,9,16,0,0,88,12154,2.2941176470588234,3.176470588235294,2.588235294117647,0.9411764705882353,55
1222,39,75,False,63,218,3,20,0,14,32,0,10,54,10751,1.95,0.65,10.9,1.6,22
1223,67,136,True,155,232,0,39,21,11,18,1,0,75,16180,1.7179487179487178,0.0,5.948717948717949,0.46153846153846156,179
1224,38,121,False,56,43,41,16,0,15,5,0,14,95,10925,2.375,3.4375,2.6875,0.3125,82
1225,42,114,False,105,186,37,35,0,10,11,0,16,48,20252,1.2,1.5142857142857142,5.314285714285714,0.3142857142857143,4
1226,29,160,False,97,134,15,23,7,12,2,9,0,103,9892,1.2608695652173914,0.6521739130434783,5.826086956521739,0.08695652173913043,2
1227,38,90,True,154,16,78,39,0,30,58,44,96,45,16919,0.9743589743589743,4.461538461538462,0.41025641025641024,1.4871794871794872,113
1228,87,194,False,156,16,93,26,20,19,9,0,18,78,15541,3.3461538461538463,4.269230769230769,0.6153846153846154,0.34615384615384615,49
1231,18,229,False,61,24,32,12,10,14,12,0,16,83,7274,1.5,4.0,2.0,1.0,0
1232,53,0,False,9,0,5,20,0,8,8,3,2,98,11686,2.65,0.35,0.0,0.4,13
1233,81,140,False,97,62,40,28,42,16,10,8,14,92,15434,2.892857142857143,1.9285714285714286,2.2142857142857144,0.35714285714285715,9
1234,83,133,False,170,142,9,22,1,11,12,0,2,110,13851,3.772727272727273,0.5,6.454545454545454,0.5454545454545454,25
1235,39,203,False,82,78,43,26,2,9,5,0,8,95,14874,1.5,1.9615384615384615,3.0,0.19230769230769232,4
1238,34,131,False,34,224,10,29,7,9,7,1,0,55,12393,1.1724137931034482,0.3448275862068966,7.724137931034483,0.2413793103448276,17
1241,59,143,True,60,26,24,12,0,7,13,0,0,51,6991,4.916666666666667,2.0,2.1666666666666665,1.0833333333333333,53
1242,42,188,False,41,4,34,12,0,10,16,7,32,50,9750,3.5,5.5,0.3333333333333333,1.3333333333333333,17
1245,68,210,False,107,14,27,24,23,10,16,0,14,62,11458,2.8333333333333335,1.7083333333333333,0.5833333333333334,0.6666666666666666,3
1246,33,176,False,37,282,43,34,0,9,30,0,4,69,17362,0.9705882352941176,1.3823529411764706,8.294117647058824,0.8823529411764706,7
1247,47,138,False,133,57,9,11,5,11,5,0,6,96,7816,4.2727272727272725,1.3636363636363635,5.181818181818182,0.45454545454545453,10
1248,27,117,False,65,14,22,14,8,9,12,0,24,72,7851,1.9285714285714286,3.2857142857142856,1.0,0.8571428571428571,47
1249,60,284,False,148,300,16,56,16,31,45,23,0,51,28485,1.0714285714285714,0.2857142857142857,5.357142857142857,0.8035714285714286,18
1250,59,137,False,102,16,15,16,6,7,13,5,2,58,10034,3.6875,1.0625,1.0,0.8125,50
1251,67,168,False,103,80,22,16,19,14,9,0,0,66,10044,4.1875,1.375,5.0,0.5625,47
1252,35,155,False,132,173,31,24,0,11,21,2,0,47,13283,1.4583333333333333,1.2916666666666667,7.208333333333333,0.875,18
1254,31,164,False,29,58,65,23,0,12,20,4,14,84,13287,1.3478260869565217,3.4347826086956523,2.5217391304347827,0.8695652173913043,15
1256,81,144,False,92,181,4,30,0,12,20,0,0,87,18477,2.7,0.13333333333333333,6.033333333333333,0.6666666666666666,6
1257,58,178,False,41,45,24,18,3,9,8,0,0,63,10312,3.2222222222222223,1.3333333333333333,2.5,0.4444444444444444,130
1258,37,210,False,130,72,26,15,0,12,7,2,14,84,8341,2.466666666666667,2.6666666666666665,4.8,0.4666666666666667,20
1259,46,153,False,91,85,42,20,0,10,8,2,8,40,11712,2.3,2.5,4.25,0.4,85
1260,59,151,False,80,90,138,21,0,19,8,5,18,63,12887,2.8095238095238093,7.428571428571429,4.285714285714286,0.38095238095238093,0
1262,33,172,False,37,46,9,14,0,10,9,0,2,117,10781,2.357142857142857,0.7857142857142857,3.2857142857142856,0.6428571428571429,5
1263,49,159,False,104,93,29,20,21,16,15,0,10,60,12000,2.45,1.95,4.65,0.75,20
1264,31,142,False,132,4,36,13,8,28,56,8,24,57,7907,2.3846153846153846,4.615384615384615,0.3076923076923077,4.3076923076923075,186
1265,75,1,False,167,406,23,42,1,20,29,0,2,104,21206,1.7857142857142858,0.5952380952380952,9.666666666666666,0.6904761904761905,49
1266,45,198,True,72,96,44,28,7,11,23,5,14,108,16968,1.6071428571428572,2.0714285714285716,3.4285714285714284,0.8214285714285714,12
1267,69,149,False,253,370,13,33,42,13,27,0,6,55,18863,2.090909090909091,0.5757575757575758,11.212121212121213,0.8181818181818182,75
1268,30,177,False,152,254,35,47,0,15,16,0,8,80,20023,0.6382978723404256,0.9148936170212766,5.404255319148936,0.3404255319148936,18
1269,62,171,False,160,406,19,40,16,7,15,0,0,105,18425,1.55,0.475,10.15,0.375,23
1270,22,134,True,19,227,22,25,0,10,18,0,0,66,11765,0.88,0.88,9.08,0.72,96
1271,34,139,True,97,110,9,11,16,8,2,2,2,50,7599,3.090909090909091,1.0,10.0,0.18181818181818182,3
1272,43,169,True,81,82,7,13,0,10,18,0,22,33,8739,3.3076923076923075,2.230769230769231,6.3076923076923075,1.3846153846153846,269
1276,58,164,False,36,5,7,28,0,11,7,0,0,100,9631,2.0714285714285716,0.25,0.17857142857142858,0.25,23
1277,32,155,False,48,34,36,14,0,18,12,0,34,108,8873,2.2857142857142856,5.0,2.4285714285714284,0.8571428571428571,43
1278,54,111,False,99,121,35,31,5,13,22,3,6,59,18961,1.7419354838709677,1.3225806451612903,3.903225806451613,0.7096774193548387,40
1279,41,180,False,56,293,31,73,28,13,23,12,4,70,40390,0.5616438356164384,0.4794520547945205,4.013698630136986,0.3150684931506849,12
1280,38,125,False,96,26,27,17,6,12,8,0,22,45,8657,2.235294117647059,2.8823529411764706,1.5294117647058822,0.47058823529411764,14
1281,50,184,False,94,64,56,26,13,14,23,6,10,94,14249,1.9230769230769231,2.5384615384615383,2.4615384615384617,0.8846153846153846,8
1283,39,153,False,27,26,24,10,0,6,5,0,2,44,6317,3.9,2.6,2.6,0.5,34
1284,48,97,False,103,42,20,14,0,7,7,0,4,68,8399,3.4285714285714284,1.7142857142857142,3.0,0.5,439
1285,26,174,False,89,196,6,27,19,9,18,2,0,73,14636,0.9629629629629629,0.2222222222222222,7.2592592592592595,0.6666666666666666,20
1286,91,158,False,252,52,23,20,3,16,19,0,36,68,12027,4.55,2.95,2.6,0.95,6
1287,34,163,False,61,66,35,23,4,9,11,0,0,102,10024,1.4782608695652173,1.5217391304347827,2.869565217391304,0.4782608695652174,294
1288,49,134,False,42,13,57,23,0,14,11,0,2,46,12174,2.130434782608696,2.5652173913043477,0.5652173913043478,0.4782608695652174,19
1289,102,176,False,50,144,10,23,0,7,7,0,8,72,15028,4.434782608695652,0.782608695652174,6.260869565217392,0.30434782608695654,11
1290,30,173,False,57,78,35,19,21,13,19,0,2,101,11498,1.5789473684210527,1.9473684210526316,4.105263157894737,1.0,41
1291,44,161,False,90,68,26,17,0,14,15,2,2,42,9852,2.588235294117647,1.6470588235294117,4.0,0.8823529411764706,113
1292,34,143,False,45,136,34,20,2,10,28,3,4,29,10242,1.7,1.9,6.8,1.4,147
1293,72,137,False,180,21,260,25,1,17,8,0,2,55,11533,2.88,10.48,0.84,0.32,8
1295,20,186,False,54,93,18,28,4,11,18,0,0,68,9905,0.7142857142857143,0.6428571428571429,3.3214285714285716,0.6428571428571429,28
1297,55,210,False,147,20,38,17,34,14,9,6,16,62,10843,3.235294117647059,3.176470588235294,1.1764705882352942,0.5294117647058824,210
1298,80,128,False,168,528,92,38,0,32,26,4,12,47,19045,2.1052631578947367,2.736842105263158,13.894736842105264,0.6842105263157895,2
1300,62,126,False,1,225,42,41,0,14,13,4,2,65,24090,1.5121951219512195,1.0731707317073171,5.487804878048781,0.3170731707317073,42
1301,52,144,False,76,22,28,12,0,9,7,0,6,42,8548,4.333333333333333,2.8333333333333335,1.8333333333333333,0.5833333333333334,123
1302,73,143,False,0,0,0,15,0,8,1,0,0,68,9519,4.866666666666666,0.0,0.0,0.06666666666666667,12
1304,30,130,False,88,156,0,18,5,12,15,0,0,88,10319,1.6666666666666667,0.0,8.666666666666666,0.8333333333333334,80
1305,64,80,False,80,144,34,16,7,13,2,0,2,58,8468,4.0,2.25,9.0,0.125,125
1308,16,109,False,47,168,18,18,9,11,8,0,0,60,10378,0.8888888888888888,1.0,9.333333333333334,0.4444444444444444,71
1309,58,166,False,81,94,18,15,0,9,12,0,2,61,8370,3.8666666666666667,1.3333333333333333,6.266666666666667,0.8,75
1310,46,149,False,50,36,34,19,1,9,14,0,24,84,10153,2.4210526315789473,3.0526315789473686,1.894736842105263,0.7368421052631579,6
1311,53,130,False,38,16,18,11,0,5,6,5,4,107,7114,4.818181818181818,2.0,1.4545454545454546,0.5454545454545454,254
1312,28,191,False,62,4,33,39,0,7,2,0,2,111,19671,0.717948717948718,0.8974358974358975,0.10256410256410256,0.05128205128205128,15
1313,31,147,False,69,52,15,15,0,15,10,0,8,54,9995,2.066666666666667,1.5333333333333334,3.466666666666667,0.6666666666666666,14
1314,67,183,False,140,0,12,28,0,6,9,0,2,64,16133,2.392857142857143,0.5,0.0,0.32142857142857145,52
1315,33,223,False,88,194,3,30,0,13,21,2,50,47,16305,1.1,1.7666666666666666,6.466666666666667,0.7,233
1316,65,157,False,134,34,31,19,0,19,26,4,16,40,11202,3.4210526315789473,2.473684210526316,1.7894736842105263,1.368421052631579,71
1317,46,119,False,117,82,83,23,0,14,6,6,14,81,14965,2.0,4.217391304347826,3.5652173913043477,0.2608695652173913,2
1318,48,107,False,174,221,48,39,1,12,13,0,0,62,15808,1.2307692307692308,1.2307692307692308,5.666666666666667,0.3333333333333333,6
1320,47,95,False,45,154,46,20,0,9,18,0,2,117,11193,2.35,2.4,7.7,0.9,91
1322,49,91,False,124,41,36,19,22,8,4,0,2,61,12214,2.5789473684210527,2.0,2.1578947368421053,0.21052631578947367,22
1323,47,83,False,100,94,33,16,0,16,6,5,4,37,11136,2.9375,2.3125,5.875,0.375,136
1324,48,208,False,170,404,0,39,17,14,19,5,2,107,20625,1.2307692307692308,0.05128205128205128,10.35897435897436,0.48717948717948717,15
1325,55,123,False,98,177,34,35,38,13,9,3,0,74,19360,1.5714285714285714,0.9714285714285714,5.057142857142857,0.2571428571428571,12
1326,63,242,False,64,98,9,23,10,6,6,0,0,80,12162,2.739130434782609,0.391304347826087,4.260869565217392,0.2608695652173913,7
1327,55,104,False,211,140,21,28,0,11,30,0,42,54,14066,1.9642857142857142,2.25,5.0,1.0714285714285714,96
1328,44,149,False,60,4,55,20,0,9,19,1,32,46,11704,2.2,4.35,0.2,0.95,2
1329,47,156,False,110,52,25,21,0,14,18,0,20,50,13717,2.238095238095238,2.142857142857143,2.4761904761904763,0.8571428571428571,15
1330,27,94,False,34,43,20,13,0,7,2,0,10,64,7979,2.076923076923077,2.3076923076923075,3.3076923076923075,0.15384615384615385,47
1331,48,236,False,234,114,111,26,0,13,38,3,14,74,15494,1.8461538461538463,4.8076923076923075,4.384615384615385,1.4615384615384615,2
1332,64,150,False,238,63,10,34,18,10,18,2,4,51,19945,1.8823529411764706,0.4117647058823529,1.8529411764705883,0.5294117647058824,117
1333,32,197,False,80,351,18,27,1,12,22,0,0,71,10881,1.1851851851851851,0.6666666666666666,13.0,0.8148148148148148,23
1334,77,160,False,158,128,82,23,53,23,27,0,10,80,14297,3.347826086956522,4.0,5.565217391304348,1.173913043478261,28
1335,52,174,False,57,35,32,23,15,13,12,7,6,90,15075,2.260869565217391,1.6521739130434783,1.5217391304347827,0.5217391304347826,53
1336,39,111,False,51,46,31,15,0,10,13,0,6,72,8271,2.6,2.466666666666667,3.066666666666667,0.8666666666666667,11
1337,63,135,True,92,264,40,35,13,12,26,0,0,60,18342,1.8,1.1428571428571428,7.542857142857143,0.7428571428571429,18
1338,27,1,False,72,153,25,17,8,13,13,0,0,37,11878,1.588235294117647,1.4705882352941178,9.0,0.7647058823529411,15
1339,39,235,False,72,102,32,15,0,10,5,0,0,61,10002,2.6,2.1333333333333333,6.8,0.3333333333333333,38
1340,47,218,False,121,273,2,43,0,17,22,0,0,97,13604,1.0930232558139534,0.046511627906976744,6.348837209302325,0.5116279069767442,32
1341,53,137,False,113,160,7,22,2,8,7,0,6,77,12944,2.409090909090909,0.5909090909090909,7.2727272727272725,0.3181818181818182,66
1342,61,169,False,132,115,65,20,0,11,8,0,6,91,10345,3.05,3.55,5.75,0.4,22
1344,60,167,False,111,105,28,26,18,14,20,4,0,100,19392,2.3076923076923075,1.0769230769230769,4.038461538461538,0.7692307692307693,37
1346,50,208,False,137,391,11,28,0,17,15,0,2,136,16990,1.7857142857142858,0.4642857142857143,13.964285714285714,0.5357142857142857,15
1347,47,149,False,51,70,70,21,0,11,23,7,10,48,12090,2.238095238095238,3.8095238095238093,3.3333333333333335,1.0952380952380953,8
1348,77,174,True,65,12,43,14,0,13,16,0,14,87,8208,5.5,4.071428571428571,0.8571428571428571,1.1428571428571428,1406
1349,74,123,False,76,96,0,29,4,11,5,0,10,68,13947,2.5517241379310347,0.3448275862068966,3.310344827586207,0.1724137931034483,22
1350,47,135,False,41,20,38,11,16,7,11,0,10,41,7408,4.2727272727272725,4.363636363636363,1.8181818181818181,1.0,57
1351,29,99,False,47,88,43,11,0,9,6,4,4,65,6831,2.6363636363636362,4.2727272727272725,8.0,0.5454545454545454,29
1354,73,143,False,116,12,14,22,0,11,25,0,30,68,14126,3.3181818181818183,2.0,0.5454545454545454,1.1363636363636365,57
1355,57,139,False,88,60,170,41,7,20,28,0,40,49,20104,1.3902439024390243,5.121951219512195,1.4634146341463414,0.6829268292682927,0
1356,50,196,False,236,456,8,49,0,10,23,0,4,60,25416,1.0204081632653061,0.24489795918367346,9.306122448979592,0.46938775510204084,6
1357,53,116,False,61,158,20,20,2,13,3,1,2,62,12277,2.65,1.1,7.9,0.15,13
1358,73,168,False,99,225,45,32,9,17,5,0,2,53,18880,2.28125,1.46875,7.03125,0.15625,31
1359,24,179,True,70,48,15,9,0,6,11,2,0,64,6990,2.6666666666666665,1.6666666666666667,5.333333333333333,1.2222222222222223,5
1360,44,95,True,89,39,0,13,2,11,13,0,10,42,8751,3.3846153846153846,0.7692307692307693,3.0,1.0,17
1361,31,316,False,28,316,4,35,11,4,12,6,0,77,23081,0.8857142857142857,0.11428571428571428,9.028571428571428,0.34285714285714286,12
1362,30,156,False,12,0,3,12,0,12,11,4,2,56,8161,2.5,0.4166666666666667,0.0,0.9166666666666666,98
1363,60,202,False,98,12,82,28,3,9,13,4,4,46,8695,2.142857142857143,3.0714285714285716,0.42857142857142855,0.4642857142857143,174
1364,48,163,False,55,8,60,17,0,12,9,6,8,58,9440,2.823529411764706,4.0,0.47058823529411764,0.5294117647058824,23
1366,38,129,False,128,92,30,21,0,10,13,2,10,57,12601,1.8095238095238095,1.9047619047619047,4.380952380952381,0.6190476190476191,10
1367,27,130,False,80,110,19,13,4,16,26,4,12,60,8708,2.076923076923077,2.3846153846153846,8.461538461538462,2.0,18
1368,54,129,False,107,26,9,12,0,7,5,0,6,83,8202,4.5,1.25,2.1666666666666665,0.4166666666666667,33
1369,42,170,False,121,42,24,14,4,13,10,0,4,96,8269,3.0,2.0,3.0,0.7142857142857143,6075
1370,34,199,False,70,38,40,10,0,4,14,0,12,68,7732,3.4,5.2,3.8,1.4,13
1371,44,170,False,62,234,26,29,4,16,7,0,0,100,12279,1.5172413793103448,0.896551724137931,8.068965517241379,0.2413793103448276,29
1372,25,146,True,175,341,6,32,5,9,15,4,6,65,17313,0.78125,0.375,10.65625,0.46875,3
1373,76,168,False,222,132,24,31,10,16,31,9,8,56,17442,2.4516129032258065,1.032258064516129,4.258064516129032,1.0,44
1374,56,128,False,71,82,39,19,5,12,23,0,0,61,10167,2.9473684210526314,2.0526315789473686,4.315789473684211,1.2105263157894737,19
1375,52,173,False,77,118,15,19,0,11,20,0,2,88,11243,2.736842105263158,0.8947368421052632,6.2105263157894735,1.0526315789473684,0
1376,35,226,False,52,111,14,30,3,7,7,0,0,89,13709,1.1666666666666667,0.4666666666666667,3.7,0.23333333333333334,88
1379,42,89,False,122,20,39,15,9,10,8,7,26,42,9690,2.8,4.333333333333333,1.3333333333333333,0.5333333333333333,77
1381,86,1,False,184,177,83,28,0,23,18,5,0,103,17719,3.0714285714285716,2.9642857142857144,6.321428571428571,0.6428571428571429,95
1382,72,119,False,148,0,63,20,14,12,7,0,12,47,12706,3.6,3.75,0.0,0.35,98
1383,81,110,False,92,152,7,33,0,8,19,0,0,78,11585,2.4545454545454546,0.21212121212121213,4.606060606060606,0.5757575757575758,27
1384,39,207,False,107,44,48,27,10,11,8,0,4,65,14871,1.4444444444444444,1.9259259259259258,1.6296296296296295,0.2962962962962963,21
1385,52,161,False,110,122,153,24,3,8,20,1,14,37,11668,2.1666666666666665,6.958333333333333,5.083333333333333,0.8333333333333334,4
1386,25,146,False,88,226,52,32,0,10,10,2,0,47,13677,0.78125,1.625,7.0625,0.3125,4
1387,55,131,False,102,44,17,10,8,6,7,0,10,71,7375,5.5,2.7,4.4,0.7,47
1388,40,165,False,54,0,52,12,3,11,6,0,12,89,7752,3.3333333333333335,5.333333333333333,0.0,0.5,89
1389,64,198,False,66,246,0,25,0,10,11,3,0,115,11083,2.56,0.0,9.84,0.44,13
1390,78,0,False,94,38,9,18,2,4,5,1,0,82,11166,4.333333333333333,0.5,2.111111111111111,0.2777777777777778,25
1391,54,228,False,144,340,0,31,18,13,24,0,0,72,20397,1.7419354838709677,0.0,10.96774193548387,0.7741935483870968,7
1392,54,157,False,190,303,0,30,12,13,17,0,6,87,15485,1.8,0.2,10.1,0.5666666666666667,5
1393,34,138,False,48,20,2,18,2,16,26,0,0,85,8222,1.8888888888888888,0.1111111111111111,1.1111111111111112,1.4444444444444444,2
1394,41,96,False,62,158,12,30,5,13,17,0,2,117,10759,1.3666666666666667,0.4666666666666667,5.266666666666667,0.5666666666666667,14
1395,71,199,True,161,16,42,18,0,15,26,0,0,50,10962,3.9444444444444446,2.3333333333333335,0.8888888888888888,1.4444444444444444,86
1396,42,126,False,98,64,12,12,0,10,11,4,18,68,8388,3.5,2.5,5.333333333333333,0.9166666666666666,18
1397,54,169,False,252,216,112,26,14,34,72,8,4,39,13761,2.076923076923077,4.461538461538462,8.307692307692308,2.769230769230769,50
